City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel FÃ³rum
4,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
5,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
7,Hilo,US,77.61,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
10,Puerto Baquerizo Moreno,EC,76.19,broken clouds,-0.9,-89.6,Hotel los Algarrobos
16,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
17,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
19,Rikitea,PF,77.76,light rain,-23.1203,-134.9692,People ThankYou
20,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
23,Kapaa,US,77.47,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Vao,NC,77.23,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
26,Angoche,MZ,79.88,scattered clouds,-16.2325,39.9086,Guest House HESADA
33,Flinders,AU,77.05,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
45,Rocha,UY,75.34,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
48,Saint-Philippe,RE,74.79,broken clouds,-21.3585,55.7679,"Chambres d'hÃ´te ""La TrinitÃ©"""
51,Lorengau,PG,81.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
52,Atuona,PF,78.12,light rain,-9.8,-139.0333,Villa Enata
56,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do AbiaÃ­
59,Sarangani,PH,81.1,light rain,5.4033,125.4636,Ballistic Islet
61,Cabo San Lucas,MX,79.9,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
62,Ponta Do Sol,PT,71.13,overcast clouds,32.6667,-17.1,Hotel do Campo
64,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
66,Butaritari,KI,80.8,light rain,3.0707,172.7902,Isles Sunset Lodge
70,Necochea,AR,80.04,few clouds,-38.5473,-58.7368,dyd -mar Hotel
71,Kavieng,PG,83.17,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
77,Mar Del Plata,AR,75.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
79,Bima,ID,76.59,overcast clouds,-8.4667,118.7167,Lambitu Hotel
85,New Norfolk,AU,80.74,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
86,Zemio,CF,74.77,broken clouds,5.0314,25.1361,OCHA Office
87,Ibiruba,BR,77.16,broken clouds,-28.6275,-53.0897,Hotel Pitangueira - O melhor serviÃ§o pelo menor preÃ§o.
88,Bosaso,SO,75.94,few clouds,11.2842,49.1816,Red Sea Hotel
90,Broken Hill,AU,82.11,broken clouds,-31.95,141.4333,Royal Exchange Hotel
91,Sur,OM,70.74,clear sky,22.5667,59.5289,Sur Plaza Hotel
92,Miranda,CO,80.73,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
93,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
98,Hobart,AU,81.1,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
102,Cerro Cama,PA,84.88,overcast clouds,9.03,-79.905,Laguna de las mendoza
106,Ambon,ID,80.64,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
108,Cap Malheureux,MU,75.69,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
109,Spring Hill,US,84.29,scattered clouds,28.4769,-82.5255,Room of The world By traveline Plus
111,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
115,Boende,CD,71.01,overcast clouds,-0.2167,20.8667,
117,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
121,The Valley,AI,80.74,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
125,Burnie,AU,70.9,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
126,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,Wagga Wagga,AU,79.84,clear sky,-35.1167,147.3667,The Club Motel and Apartments
128,Kavaratti,IN,80.82,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
129,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
131,Kaeo,NZ,77.32,clear sky,-35.1,173.7833,Bushido Lodge
135,Taoudenni,ML,70.63,clear sky,22.6783,-3.9836,
136,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
142,Padang,ID,76.8,overcast clouds,-0.9492,100.3543,Mercure Padang
144,Itarema,BR,80.76,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
148,Dingle,PH,74.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
160,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
161,Meulaboh,ID,75.74,overcast clouds,4.1363,96.1285,Kost Pria
163,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Redface Studios MeublÃ©s
164,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
167,Isla Mujeres,MX,82.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
174,Avera,US,76.51,overcast clouds,33.194,-82.5271,
175,Poum,NC,81.34,heavy intensity rain,-20.2333,164.0167,GÃ®te kajeon
179,Yeppoon,AU,80.38,few clouds,-23.1333,150.7333,Villa Mar Colina
181,Bogo,PH,75.79,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
183,Ruston,US,81.5,scattered clouds,32.5232,-92.6379,"Country Inn & Suites by Radisson, Ruston, LA"
187,Baturaja,ID,72.39,moderate rain,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
193,Cidreira,BR,73.72,broken clouds,-30.1811,-50.2056,Hotel Castelo
194,Phuket,TH,84.09,scattered clouds,8.0,98.25,The Surin
198,Iberia,US,80.06,broken clouds,29.9502,-91.7507,back to back rv park
200,Ormara,PK,71.49,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
203,Sibolga,ID,75.7,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
206,Carnarvon,AU,73.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
208,Abonnema,NG,80.1,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
209,Bowen,AU,75.42,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
210,Filingue,NE,72.16,few clouds,14.3521,3.3168,
211,Arraial Do Cabo,BR,75.16,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
222,Matara,LK,74.43,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
227,Ulladulla,AU,76.87,clear sky,-35.35,150.4667,Sandpiper Motel
231,Hobyo,SO,78.13,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
232,Vila Velha,BR,76.95,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
236,Namibe,AO,71.78,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
241,Batticaloa,LK,76.64,overcast clouds,7.7102,81.6924,Grand Star Guest House
242,Tutoia,BR,84.18,moderate rain,-2.7619,-42.2744,Pousada GuarÃ¡'s
244,Carutapera,BR,76.96,moderate rain,-1.195,-46.02,Lidera
247,Namatanai,PG,82.69,light rain,-3.6667,152.4333,Seagulls Inn Namatani
248,Kapoeta,SS,83.89,few clouds,4.7717,33.5903,Eastgate Hotel
252,Tamasopo,MX,81.81,clear sky,21.9333,-99.4833,La Pozita Azul
255,Atar,MR,72.3,clear sky,20.5169,-13.0499,Oumou Elghoura
258,Piney Green,US,71.78,clear sky,34.716,-77.3202,Holiday City Mobile Home Community
262,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
271,Beira,MZ,80.67,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
272,Houma,US,82.99,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
277,Mahibadhoo,MV,81.09,scattered clouds,3.7833,72.9667,Omadhoo Inn
280,Sao Joao Da Barra,BR,78.89,heavy intensity rain,-21.6403,-41.0511,Pousada Porto De Canoas
281,Makakilo City,US,75.69,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
282,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Poutur Pousada
286,Kirakira,SB,82.62,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
287,Kota Kinabalu,MY,73.38,few clouds,5.9749,116.0724,Gaya Centre Hotel
290,Sao Jose Da Coroa Grande,BR,79.79,few clouds,-8.8978,-35.1478,CrÃ´a Mares Hotel
296,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey HÃ´tel
297,La Reforma,MX,75.15,overcast clouds,25.0833,-108.05,Hotel Reforma
298,Blenheim,NZ,80.42,clear sky,-41.516,173.9528,Knightsbridge Court Motor Lodge
303,Chuy,UY,74.61,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
307,Certegui,CO,82.38,moderate rain,5.3707,-76.6044,Juosma yesisd
309,Coahuayana,MX,83.79,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
310,Qui Nhon,VN,72.0,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
313,Lunas,PH,77.02,overcast clouds,10.6402,123.7525,T R D
314,Pemangkat,ID,76.3,overcast clouds,1.1667,108.9667,Ramah Kost KITA
315,Saint Pete Beach,US,83.19,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
316,Tamandare,BR,79.65,few clouds,-8.7597,-35.1047,Pousada 100 Passos
317,Hithadhoo,MV,81.25,clear sky,-0.6,73.0833,Scoop Guest House
320,Riachao Do Jacuipe,BR,80.26,overcast clouds,-11.8069,-39.3856,RiachÃ£o Palace Hotel
321,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
322,Samarai,PG,82.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
323,Holetown,BB,81.16,clear sky,13.1867,-59.6381,The Palms Resort
324,Sao Filipe,CV,77.32,overcast clouds,14.8961,-24.4956,Hotel Xaguate
327,Bengkulu,ID,74.84,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
333,Massape,BR,80.24,moderate rain,-3.5228,-40.3428,Pousada Recanto de FÃ¡tima
342,Djibo,BF,72.43,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
343,Faanui,PF,81.5,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
347,Port Blair,IN,80.17,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
348,Chabahar,IR,71.46,overcast clouds,25.2919,60.643,Ù‡ØªÙ„ Ú¯Ø¯Ø±ÙˆØ´ÛŒØ§
349,Port Lincoln,AU,78.13,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
350,Kawalu,ID,71.87,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
353,Ahuimanu,US,76.86,moderate rain,21.4447,-157.8378,Paradise Bay Resort
354,Jaffna,LK,77.52,broken clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
360,Sambava,MG,76.75,light rain,-14.2667,50.1667,Melrose
362,Soc Trang,VN,71.56,scattered clouds,9.6033,105.98,Phu Quy Hotel
363,Yulara,AU,73.24,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
364,Melo,UY,82.49,few clouds,-32.3667,-54.1833,Hotel Juana
367,Manavalakurichi,IN,80.69,few clouds,8.1333,77.3,Jebinrio home
370,Nabire,ID,76.91,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
371,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
376,Nouakchott,MR,73.33,broken clouds,18.0858,-15.9785,HOTEL IMAN
377,Mushie,CD,71.91,light rain,-3.0167,16.9,
383,San-Pedro,CI,80.08,scattered clouds,4.7485,-6.6363,Hotel Maria
385,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
386,Katobu,ID,75.52,heavy intensity rain,-4.9408,122.5276,La Ode Husein
388,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
391,Axim,GH,79.88,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
393,Benguela,AO,77.83,light rain,-12.5763,13.4055,Hotel Praia Morena
394,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
396,Odienne,CI,76.3,few clouds,9.51,-7.5692,Oustaz Vame DIAKITE
401,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
408,Honavar,IN,76.96,clear sky,14.2833,74.45,Hotel Sagar Residency
415,Gold Coast,AU,72.0,light intensity shower rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
419,Porto Velho,BR,84.25,few clouds,-8.7619,-63.9039,Hotel Central
421,Kupang,ID,79.52,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
423,Sao Luis,BR,80.8,moderate rain,-2.5297,-44.3028,Solar das Pedras Hostel
425,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
426,Adelaide,AU,82.56,overcast clouds,-34.9333,138.6,The Chancellor on Currie
428,Rio Grande,BR,80.71,scattered clouds,-32.035,-52.0986,Hotel AtlÃ¢ntico Rio Grande
432,Tarauaca,BR,83.82,overcast clouds,-8.1614,-70.7656,Flat Temporada
435,Inhambane,MZ,76.19,scattered clouds,-23.865,35.3833,Oceano
439,Cairns,AU,83.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
440,Gadung,PH,80.01,overcast clouds,6.8025,124.02,
441,Sulangan,PH,78.73,overcast clouds,11.1373,123.7228,Maia's Beach Resort
449,Ngunguru,NZ,77.16,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
450,Talisay,PH,77.02,moderate rain,10.2447,123.8494,RedDoorz near Talisay District Hospital
451,Manicore,BR,80.47,broken clouds,-5.8092,-61.3003,Hotel Durval
452,Niono,ML,73.35,clear sky,14.2526,-5.993,HÃ´tel Campement
453,Morros,BR,70.09,overcast clouds,-9.4467,-46.3003,
457,Bandarbeyla,SO,76.73,few clouds,9.4942,50.8122,JABIR HOTEL
466,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
467,Jega,NG,72.16,scattered clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
468,Kishi,NG,79.52,clear sky,9.0833,3.85,New NCCF KISI
470,Kahului,US,78.82,light rain,20.8947,-156.47,Maui Seaside Hotel
471,Ahipara,NZ,70.66,clear sky,-35.1667,173.1667,Ahipara Holiday Park
473,Port-Gentil,GA,79.25,overcast clouds,-0.7193,8.7815,Fengshui Residence
479,Kapit,MY,72.52,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
480,Pineville,US,82.26,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
482,Beloha,MG,75.27,overcast clouds,-25.1667,45.05,
484,Neiafu,TO,84.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
492,Kalmunai,LK,75.81,overcast clouds,7.4167,81.8167,VS Villa
493,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
496,Hualmay,PE,72.52,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
497,Sal Rei,CV,73.96,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
498,Mackay,AU,83.68,scattered clouds,-21.15,149.2,International Lodge Motel
503,Ixtapa,MX,78.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
505,Bundaberg,AU,76.21,broken clouds,-24.85,152.35,Takalvan Motel
508,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
509,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
514,Karratha,AU,80.42,clear sky,-20.7377,116.8463,ibis Styles Karratha
517,Nha Trang,VN,75.2,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
519,Bacungan,PH,76.24,overcast clouds,9.9106,118.7022,Sumayang Property
523,Tamale,GH,82.89,broken clouds,9.4008,-0.8393,Tap Hotel
524,Rondonopolis,BR,75.88,broken clouds,-16.4708,-54.6356,Serras Hotel
527,Sao Mateus,BR,75.24,overcast clouds,-18.7161,-39.8589,Hotel Rio Norte
528,Mayumba,GA,76.71,overcast clouds,-3.432,10.6554,LIKWALE LODGE
539,Tual,ID,82.76,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
544,Bridgetown,BB,81.09,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
552,Villamontes,BO,78.76,overcast clouds,-21.25,-63.5,Hotel Raldes
553,Campo Formoso,BR,74.93,overcast clouds,-10.5075,-40.3214,Hotel Rio das Pedras
554,Santa Elena,EC,75.09,scattered clouds,-2.2333,-80.85,HOTEL CISNE II
555,Male,MV,82.35,few clouds,4.1748,73.5089,Hotel Octave Maldives
556,Jacareacanga,BR,75.27,overcast clouds,-6.2222,-57.7528,Casa do IanðŸ˜Ž
562,Abilene,US,71.19,overcast clouds,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
563,Harper,LR,79.56,broken clouds,4.375,-7.7169,Screensaver
564,Clarence Town,AU,76.86,light rain,-32.5833,151.7833,River Downs Cottage
565,Pelileo,EC,70.97,light rain,-1.3167,-78.5333,La Casta
576,Thinadhoo,MV,80.89,broken clouds,0.5333,72.9333,
578,Dao,PH,74.39,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
582,Hambantota,LK,75.54,clear sky,6.1241,81.1185,Bungalow 63
584,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
591,La Romana,DO,82.76,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
594,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
596,Emerald,AU,78.35,clear sky,-23.5333,148.1667,The Irish Village
600,Davidson,US,72.52,overcast clouds,36.1501,-86.7833,Best Western Plus Music Row
602,Caravelas,BR,77.13,light rain,-17.7125,-39.2481,Pousada dos Navegantes
607,Tucurui,BR,74.34,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
610,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
611,Sikasso,ML,76.71,clear sky,10.9167,-7.0,
612,Galle,LK,74.16,overcast clouds,6.0367,80.217,Amangalla
620,Sabang,ID,80.19,broken clouds,5.8933,95.3214,Hotel Citra
623,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
625,Port Moresby,PG,80.35,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
627,Sola,VU,83.07,light intensity drizzle,-13.8833,167.55,Leumerus Bungalows
629,Juba,SS,82.51,few clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
630,Curaca,BR,83.26,overcast clouds,-8.9903,-39.9094,Hotel Recanto Campestre
631,Soyo,AO,78.15,broken clouds,-6.1349,12.3689,Hotel Mpampa
634,Fare,PF,81.59,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
635,Sao Desiderio,BR,70.57,overcast clouds,-12.3633,-44.9733,Hotel azaf
640,San Policarpo,PH,78.49,overcast clouds,12.1791,125.5072,Agapita M. Nicart
642,Viru,PE,74.53,overcast clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÃ‘A
643,Gemena,CD,73.38,overcast clouds,3.25,19.7667,HÃ´tel Goshen
647,Juruti,BR,77.04,overcast clouds,-2.1522,-56.0922,Hotel AcauÃ£ - ORLA
650,Tchamba,TG,79.48,few clouds,9.0333,1.4167,ROYAL HOTEL TCHAMBA
651,Salvador,SV,82.06,few clouds,13.8333,-88.9167,Chico's Ranch
654,Bol,TD,71.91,clear sky,13.4586,14.7147,Hotel 3 Etoiles
655,Guruvayur,IN,78.04,broken clouds,10.5943,76.0411,Kanoos Residency
660,Camacari,BR,82.17,overcast clouds,-12.6975,-38.3242,Hotel Cambuci
666,Santo Domingo,DO,81.93,clear sky,18.5001,-69.9886,CabaÃ±as City Heart
670,Lebanon,US,71.82,broken clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
672,Impfondo,CG,74.3,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
674,Bonito,BR,84.34,broken clouds,-21.1211,-56.4819,MarruÃ¡ Hotel
677,Codrington,AU,70.07,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
683,Dogondoutchi,NE,71.46,clear sky,13.6393,4.0287,HÃ´tel Alheri Maison Alheri
685,Kieta,PG,83.28,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
686,Leeton,AU,82.89,clear sky,-34.5667,146.4,Historic Hydro Motor Inn
687,Vung Tau,VN,75.15,scattered clouds,10.346,107.0843,Green hotel
689,Eyl,SO,75.65,scattered clouds,7.9803,49.8164,Amiin Hotel
691,Port Macquarie,AU,70.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
694,Manokwari,ID,79.21,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
695,Shakawe,BW,70.47,broken clouds,-18.3667,21.85,Ditlhapi Guest House
700,Camopi,GF,72.72,light rain,3.1655,-52.3158,La pousada
